,OBJECTID,post_id,latitude,longitude,Name,Lines,Line Color
31,72744,3306158,33.77360283,-118.1894242,5th Street Station,['Blue'],A
,72743,3306157,33.76874483,-118.1893742,1st Street Station,['Blue'],A
0,72713,3306127,33.76807583,-118.1929332,Downtown Long Beach Station,['Blue'],A
1,72714,3306128,33.77226283,-118.1937122,Pacific Ave Station,['Blue'],A
2,72715,3306129,33.78183483,-118.1893962,Anaheim Street Station,['Blue'],A
3,72716,3306130,33.78909483,-118.1893942,Pacific Coast Hwy Station,['Blue'],A
4,72717,3306131,33.80708383,-118.1898462,Willow Street Station,['Blue'],A
5,72718,3306132,33.81986983,-118.1961022,Wardlow Station,['Blue'],A
6,72719,3306133,33.84822684,-118.2110292,Del Amo Station,['Blue'],A
7,72720,3306134,33.87608684,-118.2225152,Artesia Station,['Blue'],A
8,72721,3306135,33.89749484,-118.2242612,Compton Station,['Blue'],A
9,72722,3306136,33.92805284,-118.2375672,Willowbrook - Rosa Parks Station,"['Blue', 'Green']",A
10,72723,3306137,33.94222484,-118.2431712,103rd Street / Watts Towers  Station,['Blue'],A
11,72724,3306138,33.95961585,-118.2432172,Firestone Station,['Blue'],A
12,72725,3306139,33.97374485,-118.2432832,Florence Station,['Blue'],A
13,72726,3306140,33.98876485,-118.2434102,Slauson Station,['Blue'],A
14,72727,3306141,34.00292485,-118.2433152,Vernon Station,['Blue'],A
15,72728,3306142,34.01965485,-118.2430962,Washington Station,['Blue'],A
16,72729,3306143,34.02681185,-118.2555172,San Pedro Street Station,['Blue'],A
17,72730,3306144,34.03315985,-118.2693452,Grand / LATTC Station,['Blue'],A
18,72731,3306145,34.04073985,-118.2661302,Pico Station,"['Blue', 'Expo']",A
19,72732,3306146,34.04861486,-118.2588342,7th St / Metro Center Station,"['Blue', 'Expo']",A
127,72840,3306254,34.05475059,-118.2512082,Grand Av Arts/Bunker Hill,"['Blue', 'Expo']",A
128,72841,3306255,34.05203893,-118.2461664,Historic Broadway,"['Blue', 'Expo']",A
129,72842,3306256,34.04884218,-118.2387869,Little Tokyo/Arts District,"['Blue', 'Expo']",A
70,72783,3306197,34.05606586,-118.2347712,Union Station,['Gold'],A
71,72784,3306198,34.06386586,-118.2358522,Chinatown Station,['Gold'],A
72,72785,3306199,34.08095386,-118.2204412,Lincoln Heights / Cypress Park Station,['Gold'],A
73,72786,3306200,34.08723186,-118.2132252,Heritage Square / Arroyo Station,['Gold'],A
74,72787,3306201,34.09824786,-118.2067242,Southwest Museum Station,['Gold'],A
75,72788,3306202,34.11118387,-118.1926182,Highland Park Station,['Gold'],A
76,72789,3306203,34.11519087,-118.1578982,South Pasadena Station,['Gold'],A
77,72790,3306204,34.13352587,-118.1481382,Fillmore Station,['Gold'],A
78,72791,3306205,34.14191487,-118.1482262,Del Mar Station,['Gold'],A
79,72792,3306206,34.14836087,-118.1475242,Memorial Park Station,['Gold'],A
