,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,tpis_name
0,80101,80101,Downtown Long Beach Station,,33.768071,-118.192921,,0,80101S,Long Bch
4,80102,80102,Pacific Ave Station,,33.772258,-118.1937,,0,80102S,Pacific
8,80105,80105,Anaheim Street Station,,33.78183,-118.189384,,0,80105S,Anaheim
12,80106,80106,Pacific Coast Hwy Station,,33.78909,-118.189382,,0,80106S,PCH
15,80107,80107,Willow Street Station,,33.807079,-118.189834,,0,80107S,Willow
18,80108,80108,Wardlow Station,,33.819865,-118.19609,,0,80108S,Wardlow
22,80109,80109,Del Amo Station,,33.848222,-118.211017,,0,80109S,Del Amo
25,80110,80110,Artesia Station,,33.876082,-118.222503,,0,80110S,Artesia
28,80111,80111,Compton Station,,33.89749,-118.224249,,0,80111S,Compton
31,80112,80112,Willowbrook - Rosa Parks Station - Metro A-Line,,33.928048,-118.237555,,0,80112S,Willwbrk
34,80113,80113,103rd Street / Watts Towers  Station,,33.94222,-118.243159,,0,80113S,103rd
37,80114,80114,Firestone Station,,33.959611,-118.243205,,0,80114S,Firestne
41,80115,80115,Florence Station,,33.97374,-118.243271,,0,80115S,Florence
44,80116,80116,Slauson Station,,33.98876,-118.243398,,0,80116S,Slauson
48,80117,80117,Vernon Station,,34.00292,-118.243303,,0,80117S,Vernon
51,80118,80118,Washington Station,,34.01965,-118.243084,,0,80118S,Washngtn
54,80119,80119,San Pedro Street Station,,34.026807,-118.255505,,0,80119S,S Pedro
57,80120,80120,Grand / LATTC Station,,34.033155,-118.269333,,0,80120S,Grand
60,80121,80121,Pico Station,,34.040735,-118.266118,,0,80121S,Pico
65,80122,80122,7th Street / Metro Center Station - Metro A & E Lines,,34.04861,-118.258822,,0,80122S,7MC
73,80123,80123,LATTC / Ortho Institute Station,,34.029112,-118.273603,,0,80123S,LATTC
77,80124,80124,Jefferson / USC Station,,34.022123,-118.278118,,0,80124S,Jeff/USC
81,80125,80125,Expo Park / USC Station,,34.018227,-118.285734,,0,80125S,Expo Pk
85,80126,80126,Expo / Vermont Station,,34.018245,-118.29154,,0,80126S,Ex/Vrmnt
90,80127,80127,Expo / Western Station,,34.018331,-118.30891,,0,80127S,Ex/Wstrn
94,80128,80128,Expo / Crenshaw E-Line Station,,34.022526,-118.335078,,0,80128S,Ex/Crnshw
98,80129,80129,Farmdale Station,,34.023981,-118.346095,,0,80129S,Farmdale
102,80130,80130,Expo / La Brea / Ethel Bradley Station,,34.024803,-118.355159,,0,80130S,Ex/LBrea
106,80131,80131,La Cienega / Jefferson Station,,34.026355,-118.37212,,0,80131S,LCienega
110,80132,80132,Culver City Station,,34.027896,-118.388986,,0,80132S,CulvrCty
114,80133,80133,Palms Station,,34.029323,-118.404255,,0,80133S,Palms
120,80134,80134,Westwood / Rancho Park Station,,34.036816,-118.424576,,0,80134S,Westwood
123,80135,80135,Expo / Sepulveda Station,,34.035408,-118.434234,,0,80135S,Sepulveda
133,80136,80136,Expo / Bundy Station,,34.031705,-118.452896,,0,80136S,Bundy
143,80137,80137,26th Street / Bergamot Station,,34.027995,-118.46912,,0,80137S,26th
148,80138,80138,17th Street / SMC Station,,34.023155,-118.480372,,0,80138S,17th/SMC
152,80139,80139,Downtown Santa Monica Station,,34.01401,-118.491384,,0,80139S,S Monica
159,80153,80153,1st Street Station,,33.76874,-118.189362,,0,80153S,1st St
163,80154,80154,5th Street Station,,33.773598,-118.189412,,0,80154S,5th St
167,80201,80201,North Hollywood Station,,34.168504,-118.376808,,0,80201S,NoHo
171,80202,80202,Universal / Studio City Station,,34.140002,-118.362699,,0,80202S,Univ City
176,80203,80203,Hollywood / Highland Station,,34.101547,-118.338549,,0,80203S,Highlnd
179,80204,80204,Hollywood / Vine Station,,34.10163,-118.32518,,0,80204S,HW/Vine
183,80205,80205,Hollywood / Western Station,,34.101737,-118.308117,,0,80205S,HW/Wstrn
187,80206,80206,Vermont / Sunset Station,,34.097708,-118.291756,,0,80206S,Sunset
191,80207,80207,Vermont / Santa Monica Station,,34.08991,-118.29173,,0,80207S,Ver/SaMo
196,80208,80208,Vermont / Beverly Station,,34.076526,-118.291686,,0,80208S,Beverly
199,80209,80209,Wilshire / Vermont Station,,34.062701,-118.290082,,0,80209S,Wil/Ver
203,80210,80210,Westlake / MacArthur Park Station,,34.056368,-118.274879,,0,80210S,Westlake
207,80211,80211,7th Street / Metro Center Station - Metro B & D Lines,,34.048634,-118.258682,,0,80122S,7MC
208,80212,80212,Pershing Square Station,,34.049316,-118.251259,,0,80212S,Persh Sq
213,80213,80213,Civic Center / Grand Park Station,,34.0549,-118.246057,,0,80213S,Civic Ctr
217,80214,80214,Union Station - Metro B & D Lines,,34.056197,-118.234249,,0,80214S,UnionSta
221,80215,80215,Wilshire / Normandie Station,,34.061753,-118.301458,,0,80215S,Wil/Norm
225,80216,80216,Wilshire / Western Station,,34.061689,-118.308756,,0,80216S,Wil/Wstrn
229,80301,80301,Redondo Beach Station,,33.89464,-118.369196,,0,80301S,Redondo
235,80302,80302,Douglas Station,,33.905299,-118.383113,,0,80302S,Douglas
239,80303,80303,El Segundo Station,,33.916063,-118.386539,,0,80303S,El Sgndo
244,80304,80304,Mariposa Station,,33.9232,-118.387572,,0,80304S,Mariposa
248,80305,80305,Aviation / LAX Station,,33.929621,-118.377134,,0,80305S,Aviation
253,80306,80306,Hawthorne / Lennox Station,,33.933408,-118.351602,,0,80306S,Haw/Lenx
257,80307,80307,Crenshaw C-Line Station,,33.925201,-118.32655,,0,80307S,Crenshaw
261,80308,80308,Vermont / Athens Station,,33.928683,-118.291733,,0,80308S,Ver/Ath
265,80309,80309,Harbor Freeway Station,,33.928714,-118.2811,,0,80309S,Harbor
269,80310,80310,Avalon Station,,33.927465,-118.265217,,0,80310S,Avalon
273,80311,80311,Willowbrook - Rosa Parks Station - Metro C-Line,,33.928258,-118.238052,,0,80112S,Willwbrk
277,80312,80312,Long Beach Blvd Station,,33.92488,-118.209945,,0,80312S,LB Bl
281,80313,80313,Lakewood Blvd Station,,33.91307,-118.1406,,0,80313S,Lakewood
285,80314,80314,Norwalk Station,,33.914033,-118.104717,,0,80314S,Norwalk
289,80401,80401,Atlantic Station,,34.033398,-118.154469,,0,80401S,East LA
293,80402,80402,East LA Civic Center Station,,34.033364,-118.161206,,0,80402S,ELACC
297,80403,80403,Maravilla Station,,34.033319,-118.16814,,0,80403S,Mravilla
301,80404,80404,Indiana Station,,34.0343,-118.192182,,0,80404S,Indiana
305,80405,80405,Soto Station,,34.043747,-118.210061,,0,80405S,Soto
308,80406,80406,Mariachi Plaza / Boyle Heights Station,,34.047215,-118.219648,,0,80406S,Mariachi
311,80407,80407,Pico / Aliso Station,,34.047634,-118.22594,,0,80407S,Pi/Aliso
314,80409,80409,Union Station - Metro A-Line,,34.056061,-118.234759,,0,80214S,UnionSta
316,80410,80410,Chinatown Station,,34.063861,-118.23584,,0,80410S,Chinatwn
321,80411,80411,Lincoln Heights / Cypress Park Station,,34.080949,-118.220429,,0,80411S,Linc/Cyp
325,80412,80412,Heritage Square / Arroyo Station,,34.087227,-118.213213,,0,80412S,Hrtge Sq
329,80413,80413,Southwest Museum Station,,34.098243,-118.206712,,0,80413S,SW Mus
334,80414,80414,Highland Park Station,,34.111179,-118.192606,,0,80414S,Highl Pk
338,80415,80415,South Pasadena Station,,34.115186,-118.157886,,0,80415S,So Pas
344,80416,80416,Fillmore Station,,34.133521,-118.148126,,0,80416S,Fillmore
347,80417,80417,Del Mar Station,,34.14191,-118.148214,,0,80417S,Del Mar
351,80418,80418,Memorial Park Station,,34.148356,-118.147512,,0,80418S,Mem Pk
355,80419,80419,Lake Station,,34.151806,-118.13139,,0,80419S,Lake
359,80420,80420,Allen Station,,34.152417,-118.114348,,0,80420S,Allen
362,80421,80421,Sierra Madre Villa Station,,34.147752,-118.081212,,0,80421S,Pasadena
365,80422,80422,Arcadia Station,,34.14286,-118.029199,,0,80422S,Arcadia
369,80423,80423,Monrovia Station,,34.133155,-118.003473,,0,80423S,Monrovia
372,80424,80424,Duarte / City of Hope Station,,34.132518,-117.96768,,0,80424S,Duarte
378,80425,80425,Irwindale Station,,34.129048,-117.932506,,0,80425S,Irwndale
382,80426,80426,Azusa Downtown Station,,34.135863,-117.906631,,0,80426S,Azusa DT
386,80427,80427,APU / Citrus College Station,,34.136814,-117.891636,,0,80427S,Azusa
389,80701,80701,Aviation / Century Station,,33.94557205,-118.378683,,0,80701S,Avia/Cen
393,80702,80702,Airport Metro Connector,,33.94986696,-118.3786793,,0,80702S,AMC
395,80703,80703,Westchester / Veterans Station,,33.96203144,-118.374378,,0,80703S,West/Vet
399,80704,80704,Downtown Inglewood Station,,33.96715635,-118.3514966,,0,80704S,Inglewood
403,80705,80705,Fairview Heights Station,,33.97525155,-118.3360716,,0,80705S,Fairview
407,80706,80706,Hyde Park Station,,33.98818653,-118.3308158,,0,80706S,Hyde Park
411,80707,80707,Leimert Park Station,,34.00390927,-118.3320162,,0,80707S,Leimert
415,80708,80708,Martin Luther King Jr Station,,34.00956339,-118.3353594,,0,80708S,MLK
