,OBJECTID,post_id,latitude,longitude,Name,Lines,Line
0,72713,3306127,33.76807583,-118.19293316,Downtown Long Beach Station,['Blue'],Blue
1,72714,3306128,33.77226283,-118.19371216,Pacific Ave Station,['Blue'],Blue
2,72715,3306129,33.78183483,-118.18939616,Anaheim Street Station,['Blue'],Blue
3,72716,3306130,33.78909483,-118.18939416,Pacific Coast Hwy Station,['Blue'],Blue
4,72717,3306131,33.80708383,-118.18984616,Willow Street Station,['Blue'],Blue
5,72718,3306132,33.81986983,-118.19610216,Wardlow Station,['Blue'],Blue
6,72719,3306133,33.84822684,-118.21102917,Del Amo Station,['Blue'],Blue
7,72720,3306134,33.87608684,-118.22251517,Artesia Station,['Blue'],Blue
8,72721,3306135,33.89749484,-118.22426117,Compton Station,['Blue'],Blue
9,72722,3306136,33.92805284,-118.23756718,Willowbrook - Rosa Parks Station,['Blue'],Blue
10,72723,3306137,33.94222484,-118.24317118,103rd Street / Watts Towers  Station,['Blue'],Blue
11,72724,3306138,33.95961585,-118.24321718,Firestone Station,['Blue'],Blue
12,72725,3306139,33.97374485,-118.24328318,Florence Station,['Blue'],Blue
13,72726,3306140,33.98876485,-118.24341018,Slauson Station,['Blue'],Blue
14,72727,3306141,34.00292485,-118.24331518,Vernon Station,['Blue'],Blue
15,72728,3306142,34.01965485,-118.24309618,Washington Station,['Blue'],Blue
16,72729,3306143,34.02681185,-118.25551719,San Pedro Street Station,['Blue'],Blue
17,72730,3306144,34.03315985,-118.26934519,Grand / LATTC Station,['Blue'],Blue
18,72731,3306145,34.04073985,-118.26613019,Pico Station,"['Blue', 'Expo']",Blue
19,72732,3306146,34.04861486,-118.25883419,7th St / Metro Center Station,"['Blue', 'Expo']",Blue
20,72733,3306147,34.02911685,-118.27361519,LATTC / Ortho Institute Station,['Expo'],Expo
21,72734,3306148,34.02212785,-118.27813019,Jefferson / USC Station,['Expo'],Expo
22,72735,3306149,34.01823185,-118.28574619,Expo Park / USC Station,['Expo'],Expo
23,72736,3306150,34.01824985,-118.29155219,Expo / Vermont Station,['Expo'],Expo
24,72737,3306151,34.01833585,-118.3089222,Expo / Western Station,['Expo'],Expo
