X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.19293315576,33.7680758276213,72713,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Downtown Long Beach Station,,,,,,,,,,,3306127,Blue Line,,,publish,33.76807583,-118.19293316,2023/04/04 16:19:54+00,,33.76807583,-118.19293316
-118.193712156002,33.772262827857,72714,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pacific Ave Station,,,,,,,,,,,3306128,Blue Line,,,publish,33.77226283,-118.19371216,2023/04/04 16:19:54+00,,33.77226283,-118.19371216
-118.189396156754,33.7818348285937,72715,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Anaheim Street Station,,,,,,,,,,,3306129,Blue Line,,,publish,33.78183483,-118.18939616,2023/04/04 16:19:54+00,,33.78183483,-118.18939616
-118.189394156675,33.7890948299426,72716,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pacific Coast Hwy Station,,,,,,,,,,,3306130,Blue Line,,,publish,33.78909483,-118.18939416,2023/04/04 16:19:54+00,,33.78909483,-118.18939416
-118.18984615794,33.807083831815,72717,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Willow Street Station,,,,,,,,,,,3306131,Blue Line,,,publish,33.80708383,-118.18984616,2023/04/04 16:19:54+00,,33.80708383,-118.18984616
-118.196102160231,33.8198698333397,72718,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wardlow Station,,,,,,,,,,,3306132,Blue Line,,,publish,33.81986983,-118.19610216,2023/04/04 16:19:54+00,,33.81986983,-118.19610216
-118.211029165726,33.8482268351711,72719,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Del Amo Station,,,,,,,,,,,3306133,Blue Line,,,publish,33.84822684,-118.21102917,2023/04/04 16:19:54+00,,33.84822684,-118.21102917
-118.222515169194,33.8760868374796,72720,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Artesia Station,,,,,,,,,,,3306134,Blue Line,,,publish,33.87608684,-118.22251517,2023/04/04 16:19:54+00,,33.87608684,-118.22251517
-118.224261171089,33.8974948400564,72721,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Compton Station,,,,,,,,,,,3306135,Blue Line,,,publish,33.89749484,-118.22426117,2023/04/04 16:19:54+00,,33.89749484,-118.22426117
-118.237567176566,33.9280528428616,72722,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Willowbrook - Rosa Parks Station,,,,,,,,,,,3306136,Blue Line,,,publish,33.92805284,-118.23756718,2023/04/04 16:19:54+00,,33.92805284,-118.23756718
-118.243171178417,33.9422248436541,72723,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,103rd Street / Watts Towers  Station,,,,,,,,,,,3306137,Blue Line,,,publish,33.94222484,-118.24317118,2023/04/04 16:19:54+00,,33.94222484,-118.24317118
-118.243217180062,33.9596158458271,72724,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Firestone Station,,,,,,,,,,,3306138,Blue Line,,,publish,33.95961585,-118.24321718,2023/04/04 16:19:54+00,,33.95961585,-118.24321718
-118.243283180817,33.9737448469411,72725,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Florence Station,,,,,,,,,,,3306139,Blue Line,,,publish,33.97374485,-118.24328318,2023/04/04 16:19:54+00,,33.97374485,-118.24328318
-118.243410182311,33.9887648488939,72726,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Slauson Station,,,,,,,,,,,3306140,Blue Line,,,publish,33.98876485,-118.24341018,2023/04/04 16:19:54+00,,33.98876485,-118.24341018
-118.243315183604,34.0029248507679,72727,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vernon Station,,,,,,,,,,,3306141,Blue Line,,,publish,34.00292485,-118.24331518,2023/04/04 16:19:54+00,,34.00292485,-118.24331518
-118.243096184616,34.0196548520833,72728,HSIP Freedom USPS_Mail_Collection_Boxes,2,Transportation,Metro Stations,,US Postal Service (USPS),Washington Station,1355 N Mentorave,,Pasadena,CA,,,,,,,3306142,Blue Line,91104,,publish,34.01965485,-118.24309618,2023/04/04 16:19:54+00,,34.01965485,-118.24309618
-118.255517187543,34.0268118527971,72729,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,San Pedro Street Station,,,,,,,,,,,3306143,Blue Line,,,publish,34.02681185,-118.25551719,2023/04/04 16:19:54+00,,34.02681185,-118.25551719
-118.269345190159,34.0331598523506,72730,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Grand / LATTC Station,,,,,,,,,,,3306144,Blue Line,,,publish,34.03315985,-118.26934519,2023/04/04 16:19:54+00,,34.03315985,-118.26934519
-118.266130190276,34.0407398538259,72731,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pico Station,,,,,,,,,,,3306145,Blue/EXPO Line,,,publish,34.04073985,-118.26613019,2023/04/04 16:19:54+00,,34.04073985,-118.26613019
-118.258834189073,34.0486148550037,72732,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,7th St / Metro Center Station,,,,,,,,,,,3306146,Blue/EXPO Line,,,publish,34.04861486,-118.25883419,2023/04/04 16:19:54+00,,34.04861486,-118.25883419
-118.273615190765,34.0291168522005,72733,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,LATTC / Ortho Institute Station,,,,,,,,,,,3306147,EXPO Line,,,publish,34.02911685,-118.27361519,2023/04/04 16:19:54+00,,34.02911685,-118.27361519
-118.278130190197,34.0221278509199,72734,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Jefferson / USC Station,,,,,,,,,,,3306148,EXPO Line,,,publish,34.02212785,-118.27813019,2023/04/04 16:19:54+00,,34.02212785,-118.27813019
-118.285746191171,34.0182318500894,72735,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo Park / USC Station,,,,,,,,,,,3306149,EXPO Line,,,publish,34.01823185,-118.28574619,2023/04/04 16:19:54+00,,34.01823185,-118.28574619
-118.291552192706,34.0182498494968,72736,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Vermont Station,,,,,,,,,,,3306150,EXPO Line,,,publish,34.01824985,-118.29155219,2023/04/04 16:19:54+00,,34.01824985,-118.29155219
-118.308922195689,34.0183358482133,72737,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Western Station,,,,,,,,,,,3306151,EXPO Line,,,publish,34.01833585,-118.3089222,2023/04/04 16:19:54+00,,34.01833585,-118.3089222
-118.335090200182,34.0225308472394,72738,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Crenshaw Station,,,,,,,,,,,3306152,EXPO Line,,,publish,34.02253085,-118.3350902,2023/04/04 16:19:54+00,,34.02253085,-118.3350902
-118.346107202068,34.0239858472363,72739,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Farmdale Station,,,,,,,,,,,3306153,EXPO Line,,,publish,34.02398585,-118.3461072,2023/04/04 16:19:54+00,,34.02398585,-118.3461072
-118.355171204025,34.0248078466298,72740,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / La Brea Station,,,,,,,,,,,3306154,EXPO Line,,,publish,34.02480785,-118.3551712,2023/04/04 16:19:54+00,,34.02480785,-118.3551712
-118.372132206667,34.0263598455584,72741,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,La Cienega / Jefferson Station,,,,,,,,,,,3306155,EXPO Line,,,publish,34.02635985,-118.37213221,2023/04/04 16:19:54+00,,34.02635985,-118.37213221
-118.3889982091,34.0279008455039,72742,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Culver City Station,,,,,,,,,,,3306156,EXPO Line,,,publish,34.02790085,-118.38899821,2023/04/04 16:19:54+00,,34.02790085,-118.38899821
-118.189374155108,33.7687448277177,72743,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,1st Street Station,,,,,,,,,,,3306157,Blue Line,,,publish,33.76874483,-118.18937416,2023/04/04 16:19:54+00,,33.76874483,-118.18937416
-118.189424155759,33.7736028278042,72744,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,5th Street Station,,,,,,,,,,,3306158,Blue Line,,,publish,33.77360283,-118.18942416,2023/04/04 16:19:54+00,,33.77360283,-118.18942416
-118.376820218559,34.1685088608031,72745,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,North Hollywood Station,,,,,,,,,,,3306159,Red Line,,,publish,34.16850886,-118.37682022,2023/04/04 16:19:54+00,,34.16850886,-118.37682022
-118.362711214257,34.1400068591735,72746,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Universal / Studio City Station,,,,,,,,,,,3306160,Red Line,,,publish,34.14000686,-118.36271121,2023/04/04 16:19:54+00,,34.14000686,-118.36271121
-118.338561207237,34.1015518557007,72747,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Highland Station,,,,,,,,,,,3306161,Red Line,,,publish,34.10155186,-118.33856121,2023/04/04 16:19:54+00,,34.10155186,-118.33856121
-118.325192204639,34.1016348564898,72748,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Vine Station,,,,,,,,,,,3306162,Red Line,,,publish,34.10163486,-118.3251922,2023/04/04 16:19:54+00,,34.10163486,-118.3251922
-118.308129201618,34.1017418574038,72749,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Western Station,,,,,,,,,,,3306163,Red Line,,,publish,34.10174186,-118.3081292,2023/04/04 16:19:54+00,,34.10174186,-118.3081292
-118.291768198764,34.097712858235,72750,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Sunset Station,,,,,,,,,,,3306164,Red Line,,,publish,34.09771286,-118.2917682,2023/04/04 16:19:54+00,,34.09771286,-118.2917682
-118.291742198062,34.0899148578214,72751,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Santa Monica Station,,,,,,,,,,,3306165,Red Line,,,publish,34.08991486,-118.2917422,2023/04/04 16:19:54+00,,34.08991486,-118.2917422
-118.291698197043,34.0765308562378,72752,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Beverly Station,,,,,,,,,,,3306166,Red Line,,,publish,34.07653086,-118.2916982,2023/04/04 16:19:54+00,,34.07653086,-118.2916982
-118.290094196349,34.0627058546655,72753,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wilshire / Vermont Station,,,,,,,,,,,3306167,Red/Purple Line,,,publish,34.06270585,-118.2900942,2023/04/04 16:19:54+00,,34.06270585,-118.2900942
-118.274891193131,34.0563728550221,72754,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Westlake / MacArthur Park Station,,,,,,,,,,,3306168,Red/Purple Line,,,publish,34.05637286,-118.27489119,2023/04/04 16:19:54+00,,34.05637286,-118.27489119
-118.258694189742,34.0486388544236,72755,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,7th St / Metro Center Station,,,,,,,,,,,3306169,Red/Purple Line,,,publish,34.04863885,-118.25869419,2023/04/04 16:19:54+00,,34.04863885,-118.25869419
-118.251271187948,34.0493208553397,72756,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pershing Square Station,,,,,,,,,,,3306170,Red/Purple Line,,,publish,34.04932086,-118.25127119,2023/04/04 16:19:54+00,,34.04932086,-118.25127119
