,station_complex_id,station_complex,borough,routes,latitude,longitude,average_monthly_ridership
0,A002,"Lexington Av (N,R,W)/59 St (4,5,6)",M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,887716.6666666666
1,A006,"5 Av-59 St (N,R,W)",M,"N,R,W",40.76481246948242,-73.97335052490234,264641.04761904763
2,A010,"57 St-7 Av (N,Q,R,W)",M,"N,R,Q,W",40.76466369628906,-73.98065948486328,583735.2857142857
3,A013,"49 St (N,R,W)",M,"N,R,W",40.7598991394043,-73.98413848876953,417757.2380952381
4,A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,"F,M,N,R,Q,B,W,D",40.74971771240234,-73.98782348632812,1842760.0
5,A027,"28 St (R,W)",M,"R,W",40.7454948425293,-73.98869323730469,200257.0
6,A030,"23 St (R,W)",M,"R,W",40.741302490234375,-73.98934173583984,327998.38095238095
7,A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"5,N,R,Q,4,L,W,6",40.73573684692383,-73.98995208740234,1632522.238095238
8,A038,"8 St-New York University (R,W)",M,"R,W",40.73032760620117,-73.99263000488281,292389.0
9,A041,"Prince St (R,W)",M,"R,W",40.72433090209961,-73.9977035522461,239513.66666666666
10,A043,"Canal St (J,N,Q,R,W,Z,6)",M,"J,N,R,Z,Q,W,6",40.71952819824219,-73.99989318847656,793601.619047619
11,A047,"City Hall (R,W)",M,"R,W",40.71328353881836,-74.0069808959961,87579.38095238095
12,A054,"Rector St (R,W)",M,"R,W",40.707218170166016,-74.01334381103516,87270.90476190476
13,A064,"Bowery (J,Z)",M,"J,Z",40.72027969360352,-73.99391174316406,68958.0
14,A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,"J,5,Z,4,,6",40.71324157714844,-74.00340270996094,457438.7619047619
15,A083,"Broad St (J,Z)",M,"J,Z",40.70647430419922,-74.01105499267578,96118.14285714286
16,B004,"7 Av (B,Q)",BK,"Q,B",40.67705154418945,-73.97236633300781,168461.42857142858
