,date,station_complex_id,station_complex,borough,routes,latitude,longitude,monthly_ridership
0,2022-02,A002,"Lexington Av (N,R,W)/59 St (4,5,6)",M,"5,N,R,4,,W,6",40.76266098022461,-73.96725463867188,605659
1,2022-02,A006,"5 Av-59 St (N,R,W)",M,"N,R,W",40.76481246948242,-73.97335052490234,166552
2,2022-02,A010,"57 St-7 Av (N,Q,R,W)",M,"N,R,Q,W",40.76466369628906,-73.98065948486328,388839
3,2022-02,A013,"49 St (N,R,W)",M,"N,R,W",40.7598991394043,-73.98413848876953,269150
4,2022-02,A022,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,"F,M,N,R,Q,B,W,D",40.74971771240234,-73.98782348632812,1280956
5,2022-02,A027,"28 St (R,W)",M,"R,W",40.7454948425293,-73.98869323730469,119597
6,2022-02,A030,"23 St (R,W)",M,"R,W",40.741302490234375,-73.98934173583984,215857
7,2022-02,A034,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,"5,N,R,Q,4,L,W,6",40.73573684692383,-73.98995208740234,1103037
8,2022-02,A038,"8 St-New York University (R,W)",M,"R,W",40.73032760620117,-73.99263000488281,210930
9,2022-02,A041,"Prince St (R,W)",M,"R,W",40.72433090209961,-73.9977035522461,155278
10,2022-02,A043,"Canal St (J,N,Q,R,W,Z,6)",M,"J,N,R,Z,Q,W,6",40.71952819824219,-73.99989318847656,523474
11,2022-02,A047,"City Hall (R,W)",M,"R,W",40.71328353881836,-74.0069808959961,52116
12,2022-02,A054,"Rector St (R,W)",M,"R,W",40.707218170166016,-74.01334381103516,48241
13,2022-02,A064,"Bowery (J,Z)",M,"J,Z",40.72027969360352,-73.99391174316406,44935
14,2022-02,A069,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,"J,5,Z,4,,6",40.71324157714844,-74.00340270996094,313801
15,2022-02,A083,"Broad St (J,Z)",M,"J,Z",40.70647430419922,-74.01105499267578,66582
16,2022-02,B004,"7 Av (B,Q)",BK,"Q,B",40.67705154418945,-73.97236633300781,122868
17,2022-02,B009,Park Pl (S),BK,S,40.67477035522461,-73.95762634277344,23340
18,2022-02,B013,"Prospect Park (B,Q,S)",BK,"Q,S,B",40.66161346435547,-73.96224975585938,132193
19,2022-02,B014,Parkside Av (Q),BK,Q,40.65529251098633,-73.96149444580078,89158
20,2022-02,B016,"Church Av (B,Q)",BK,"Q,B",40.65052795410156,-73.96298217773438,215779
21,2022-02,B017,Beverley Rd (Q),BK,Q,40.6440315246582,-73.96449279785156,50438
22,2022-02,B018,Cortelyou Rd (Q),BK,Q,40.640926361083984,-73.9638900756836,85367
23,2022-02,B019,"Newkirk Plaza (B,Q)",BK,"Q,B",40.63508224487305,-73.9627914428711,140726
24,2022-02,B020,Avenue H (Q),BK,Q,40.62926864624024,-73.96163940429688,45623
25,2022-02,B021,Avenue J (Q),BK,Q,40.625038146972656,-73.96080017089844,82989
26,2022-02,B022,Avenue M (Q),BK,Q,40.617618560791016,-73.95939636230469,83096
27,2022-02,B024,"Kings Hwy (B,Q)",BK,"Q,B",40.60866928100586,-73.95773315429688,270833
28,2022-02,B025,Avenue U (Q),BK,Q,40.59930038452149,-73.9559326171875,98899
29,2022-02,B026,Neck Rd (Q),BK,Q,40.595245361328125,-73.95516204833984,56883
30,2022-02,B027,"Sheepshead Bay (B,Q)",BK,"Q,B",40.58689498901367,-73.95415496826172,171038
31,2022-02,B029,"Brighton Beach (B,Q)",BK,"Q,B",40.57762145996094,-73.96137237548828,143749
32,2022-02,B032,Ocean Pkwy (Q),BK,Q,40.57631301879883,-73.96849822998047,44588
33,2022-02,C008,"DeKalb Av (B,Q,R)",BK,"R,Q,B",40.69063568115234,-73.98182678222656,261793
34,2022-02,C010,Union St (R),BK,R,40.67731475830078,-73.98310852050781,91525
35,2022-02,C012,"4 Av (F,G)/9 St (R)",BK,"F,R,G,",40.67084884643555,-73.9883041381836,172003
36,2022-02,C014,Prospect Av (R),BK,R,40.66541290283203,-73.99287414550781,76334
37,2022-02,C016,25 St (R),BK,R,40.66039657592773,-73.99809265136719,50185
38,2022-02,C018,"36 St (D,N,R)",BK,"N,R,D",40.65514373779297,-74.00354766845703,206844
39,2022-02,C019,45 St (R),BK,R,40.6489372253418,-74.010009765625,113490
