service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RJUN23-801-2_Saturday-92,0,0,0,0,0,1,0,20231104,20231104
RJUN23-801-3_Sunday-92,0,0,0,0,0,0,1,20231105,20231105
RJUN23-801-1_Weekday-91,1,1,1,1,1,0,0,20231106,20231106
RJUN23-801-1_Weekday-26,1,1,1,1,1,0,0,20231107,20231107
RJUN23-801-1_Weekday-32,1,1,1,1,1,0,0,20231108,20231108
RJUN23-801-1_Weekday-52,1,1,1,1,1,0,0,20231109,20231109
RJUN23-801-1_Weekday-53,1,1,1,1,1,0,0,20231110,20231110
RJUN23-801-2_Saturday-12,0,0,0,0,0,1,0,20231111,20231111
RJUN23-801-3_Sunday-90,0,0,0,0,0,0,1,20231112,20231112
RJUN23-801-1_Weekday-90,1,1,1,1,1,0,0,20231113,20231117
RJUN23-801-2_Saturday-90,0,0,0,0,0,1,0,20231118,20231118
RJUN23-802-2_Saturday-63,0,0,0,0,0,1,0,20231104,20231104
RJUN23-802-3_Sunday-91,0,0,0,0,0,0,1,20231105,20231112
RJUN23-802-1_Weekday-64,1,1,1,1,1,0,0,20231106,20231110
RJUN23-802-2_Saturday-91,0,0,0,0,0,1,0,20231111,20231118
RJUN23-802-1_Weekday-91,1,1,1,1,1,0,0,20231113,20231117
RJUN23-803-2_Saturday-06,0,0,0,0,0,1,0,20231104,20231118
RJUN23-803-3_Sunday-12,0,0,0,0,0,0,1,20231105,20231112
RJUN23-803-1_Weekday-21,1,1,1,1,1,0,0,20231106,20231117
RJUN23-804-2_Saturday-25,0,0,0,0,0,1,0,20231104,20231104
RJUN23-804-3_Sunday-91,0,0,0,0,0,0,1,20231105,20231112
RJUN23-804-1_Weekday-46,1,1,1,1,1,0,0,20231106,20231106
RJUN23-804-1_Weekday-31,1,1,1,1,1,0,0,20231107,20231107
RJUN23-804-1_Weekday-40,1,1,1,1,1,0,0,20231108,20231108
RJUN23-804-1_Weekday-47,1,1,1,1,1,0,0,20231109,20231109
RJUN23-804-1_Weekday-41,1,1,1,1,1,0,0,20231110,20231110
RJUN23-804-2_Saturday-22,0,0,0,0,0,1,0,20231111,20231111
RJUN23-804-1_Weekday-90,1,1,1,1,1,0,0,20231113,20231117
RJUN23-804-2_Saturday-91,0,0,0,0,0,1,0,20231118,20231118
RJUN23-807-2_Saturday-90,0,0,0,0,0,1,0,20231104,20231118
RJUN23-807-3_Sunday-90,0,0,0,0,0,0,1,20231105,20231112
RJUN23-807-1_Weekday-90,1,1,1,1,1,0,0,20231106,20231117
RJUN23-807-1_Weekday-08,1,1,1,1,1,0,0,20231107,20231109
